Website,Error ID,Impact,Impact Score,Report Type
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,color-contrast,serious,3, Old Report
 www.agilesparks.com,duplicate-id-active,serious,3, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,duplicate-id,minor,1, Old Report
 www.agilesparks.com,landmark-no-duplicate-contentinfo,moderate,2, Old Report
 www.agilesparks.com,landmark-unique,moderate,2, Old Report
 www.agilesparks.com,landmark-unique,moderate,2, Old Report
 www.agilesparks.com,link-in-text-block,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,link-name,serious,3, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
 www.agilesparks.com,region,moderate,2, Old Report
